questionID,passID,topID,subtopID,conID,passOrder,passTitle,questionText,choiceA,choiceB,choiceC,choiceD,correctAns
1013015,101301,1,101,3,1,pTitle0101301,"A medical student is asked by his professor to explain how a bone graft works in a
patient. What should the student say?",it provides a framework for growth of fresh and living bone,it dissolves into essential compounds like calcium and phosphate,it stimulates immune cells to engulf cancerous bone cells,it increases blood flow to the implanted area,a
1021011,102101,1,102,1,1,pTitle0102101,"When a person agrees to blood donation, what is the blood used for?",Transfusions for someone needing blood,Separated into components to make blood products,Stored in a bag for future use,All of the above,d
1021012,102101,1,102,1,1,pTitle0102101,The most common blood donation approach is to take blood from a capillary vessel (T/F),TRUE,FALSE,"","",b
1021013,102101,1,102,1,1,pTitle0102101,What must be done to the skin over blood vessel before drawing blood,mark with a FDA approved marker,visually inspected for rashes,cleaned carefully,ultrasound examination for abnormalities,c
1021014,102101,1,102,1,1,pTitle0102101,In which of the following types of container is donated blood commonly stored?,FDA-approved plastic bottles,flexible plastic bag,sterilized test tubes,All of the above,b
1021015,102101,1,102,1,1,pTitle0102101,"The thinner the needle, the less physical damage is done to the red blood cells as they
flow through the needle (T/F)The HI-LCO condition (High Information Low Conceptual
Overlap)",TRUE,FALSE,"","",b
1021021,102102,1,102,1,2,pTitle0102102,Why does a blood bank add anticoagulants to donated blood?,to kill bacteria in the blood,to preserve the red pigments called hemoglobin,to increase the oxygen carrying ability of the blood,none of the above,d
1021022,102102,1,102,1,2,pTitle0102102,"People with Creutzfeldt-Jakob disease can still donate blood as long as the blood bank
remove white blood cells from the blood (T/F)",TRUE,FALSE,"","",b
1021023,102102,1,102,1,2,pTitle0102102,What are some common infectious agents screened at a blood bank?,HPV,Measles and Listeria,HIV,E. Coli,c
1021031,102103,1,102,1,3,pTitle0102103,"In Northern India and central Asia, the frequency of which blood type is relatively high?",Rh positive Type O,Type AB,Type B,None of the above,c
1021032,102103,1,102,1,3,pTitle0102103,"A patient with Type A blood is suffering blood loss from a vehicle accident. At the
emergency hospital, the doctor accidentally administered Type B blood transfusion. What
symptoms might the patient experience?",he will only experience volume loss,weakness and fatigue,nausea and vomiting,fever and chills,d
1021033,102103,1,102,1,3,pTitle0102103,"Blood type is a classification of blood is based on the size and shape of red blood cells
(T/F)",TRUE,FALSE,"","",b
1021041,102104,1,102,1,4,pTitle0102104,"Donors with what kind of medical history would most likely experience adverse
consequences to a transfusion?",chronic migraines,"disease of the blood vessels in the brain, heart failure",osteoporosis,psychosis and depression,b
1021042,102104,1,102,1,4,pTitle0102104,"For patients who have undergone recent surgery, if a transfusion was given at the time of
surgery, donation may be allowed after one year of recovery (T/F)",TRUE,FALSE,"","",a
1021043,102104,1,102,1,4,pTitle0102104,Which donor below is more likely to feel dizziness and fainting following donation?,long-distance runner with BMI of 21,a young male with morbid obesity,a middle-aged vegan who weighs 108lb,no difference between these individuals,c
1021051,102105,1,102,1,5,pTitle0102105,"In newborn jaundice, a baby has yellow skin and eyes due to a high level of what
substance in the blood?",hemoglobin,bilirubin,amniotic fetal protein,none of the above,b
1021052,102105,1,102,1,5,pTitle0102105,Which of the infant’s organ primarily process bilirubin to prevent its toxic effects?,brain,kidney,liver,lungs,c
1021053,102105,1,102,1,5,pTitle0102105,"Transfusion can improve an infant’s yellow skin, but phototherapy is required if there’s
jaundice with severe symptoms (T/F)",TRUE,FALSE,"","",b
1021061,102106,1,102,1,6,pTitle0102106,What is the purpose of performing apheresis on whole blood?,detect cancer cells in the donor’s blood,remove harmful or infectious substances from the blood,enrich the blood with vital nutrients and minerals,b & c,b
1021062,102106,1,102,1,6,pTitle0102106,"While very useful, apheresis is a time-intensive process that can take several days to
complete (T/F)",TRUE,FALSE,"","",a
1021063,102106,1,102,1,6,pTitle0102106,How many needles are required to perform apheresis?,1,2,3,4,b
1021071,102107,1,102,1,7,pTitle0102107,"The Food and Drug Administration did not allow gay and bisexual men and people with
recent tattoos and piercings to donate blood in the past. What event has triggered the lift
of this ban?",the HIV epidemic,COVID pandemic,the Red Cross advocacy,2020 flu outbreak,b
1021072,102107,1,102,1,7,pTitle0102107,"Red Cross is the organization that legislate policies on blood transfusions and donor
eligibility (T/F)",TRUE,FALSE,"","",b
1021073,102107,1,102,1,7,pTitle0102107,"From 2019 to 2020, many blood drives were canceled at workplaces, colleges and other
locations (T/F)",TRUE,FALSE,"","",a
1021081,102108,1,102,1,8,pTitle0102108,"After a work accident at a construction site, a 42-year-old man received 1000 cc of blood
product. In 3 hours, he developed fever, chills and rash. A transfusion reaction is
suspected. What is the safest next step of management?",stop the transfusion,administer antibiotics,intubate the man on 100% oxygen,IV fluid resuscitation,a
1021082,102108,1,102,1,8,pTitle0102108,"A chronic transfusion reaction presents symptoms between 6 to 12 hours after a blood
transfusion (T/F)",TRUE,FALSE,"","",b
1021083,102108,1,102,1,8,pTitle0102108,"If a transfusion reaction is suspected, a freshly collected blood sample from the patient
should be returned the blood bank for investigation (T/F)",TRUE,FALSE,"","",a
1021091,102109,1,102,1,9,pTitle0102109,What populations are more likely to experience acute reaction from blood transfusion?,the elderly population,African Americans,obese patients,adolescents,a
1021092,102109,1,102,1,9,pTitle0102109,"Young people generate more ABO antibodies; therefore, they are more likely to present
with symptoms from transfusion reaction. (T/F)",TRUE,FALSE,"","",b
1021093,102109,1,102,1,9,pTitle0102109,"Newborns are especially susceptible to transfusion reactions during their first few months
of life due to immature blood cells (T/F)",TRUE,FALSE,"","",b
1021101,102110,1,102,1,10,pTitle0102110,"A vegan patient has been feeling weak and short of breath for several months. The doctor
suspects anemia due to lack of nutrients. What is a useful lab measure to determine the
type of anemia?",mean corpuscular volume,mean corpuscular area,red blood cell count,all of the above,a
1021102,102110,1,102,1,10,pTitle0102110,Clinical features of anemia include the following EXCEPT,fatigue,shortness of breath,high blood pressure,high heart rate,c
1021103,102110,1,102,1,10,pTitle0102110,Some viral infections may cause aplastic anemia. What are some other potential causes?,certain medicines,iron deficiency,autoimmune diseases,toxic chemicals,"a,c,d"
1021111,102111,1,102,1,11,pTitle0102111,All Jehovah’s Witnesses believe that it is against God’s will to receive blood (T/F),TRUE,FALSE,"","",b
1021112,102111,1,102,1,11,pTitle0102111,"A child whose parents are Jehovah’s Witnesses, by default, cannot receive blood
transfusions during emergencies and elective surgeries because of the risk of expulsion
from by the church (T/F)",TRUE,FALSE,"","",a
1021113,102111,1,102,1,11,pTitle0102111,"If a known Jehovah’s Witness adult patient has already refused to consent to a blood
transfusion on record, what is the best course of action during an emergency?",respect the patient’s preference and withhold transfusions,consult the hospital ethics committee,ask the church authority for an exemption,give transfusion,a
1022011,102201,1,102,2,1,pTitle0102201,"When a person agrees to blood donation, what is the blood used for?",Transfusions for someone needing blood,Separated into components to make blood products,Stored in a bag for future use,All of the above,d
1022012,102201,1,102,2,1,pTitle0102201,The most common blood donation approach is to take blood from a capillary vessel (T/F),TRUE,FALSE,"","",b
1022013,102201,1,102,2,1,pTitle0102201,What must be done to the skin over blood vessel before drawing blood,mark with a FDA approved marker,visually inspected for rashes,cleaned carefully,ultrasound examination for abnormalities,c
1022014,102201,1,102,2,1,pTitle0102201,In which of the following types of container is donated blood commonly stored?,FDA-approved plastic bottles,flexible plastic bag,sterilized test tubes,All of the above,b
1022015,102201,1,102,2,1,pTitle0102201,"The thinner the needle, the less physical damage is done to the red blood cells as they
flow through the needle (T/F)The HI-LCO condition (High Information Low Conceptual
Overlap)",TRUE,FALSE,"","",b
1022021,102202,1,102,2,2,pTitle0102202,"Which of the following is one of the common components can be derived from donated
blood?",antibody,plasma,red marrow,stem cells,b
1022022,102202,1,102,2,2,pTitle0102202,"With the advent of modern techniques, any type of blood components can now be stored
safely for at least dozens of years (T/F)",TRUE,FALSE,"","",b
1022023,102202,1,102,2,2,pTitle0102202,"A college student wants to donate blood after reading the advertisement for a local blood
drive. However, he is curious about the time it would take for collection to work with his
busy schedule. How long should he plan for the process for whole blood donation?",30 minutes,1 hour,8 hours,1 day,b
1022031,102203,1,102,2,3,pTitle0102203,What is the most frequently used blood component?,white blood cells,red blood cells,plasma,platelets,b
1022032,102203,1,102,2,3,pTitle0102203,"During a double red cell donation at a blood drive, a college student asks why he is given
saline solution at the same time. What does the saline solution prevent?",anemia causing weakness,low blood pressure causing light-headedness,high bilirubin causing jaundice,all of the above,b
1022033,102203,1,102,2,3,pTitle0102203,"A double red cell donation, as the name suggest, is twice as fast as a normal whole blood
donation (T/F)",TRUE,FALSE,"","",b
1022041,102204,1,102,2,4,pTitle0102204,"An elderly patient is recently prescribed aspirin after abnormal labs. What is a potential
effect of taking aspirin?",impaired clotting,decreased cholesterol,increased immune functions,none of the above,a
1022042,102204,1,102,2,4,pTitle0102204,"It takes at least 4 platelet donations to provide enough platelets for a full treatment unit
for a patient in need (T/F)",TRUE,FALSE,"","",b
1022043,102204,1,102,2,4,pTitle0102204,"During platelet donation, since apheresis returns the red cells and most of the plasma
back to the donor, donors can resume normal activities that day (T/F)",TRUE,FALSE,"","",a
1022051,102205,1,102,2,5,pTitle0102205,"In addition to maintaining a healthy blood pressure, plasma also serves a variety of
functions like carrying oxygen to tissues. (T/F)",TRUE,FALSE,"","",b
1022052,102205,1,102,2,5,pTitle0102205,Which of the following blood types provide plasma that can be received by any adult?,O,A,AB,B,c
1022053,102205,1,102,2,5,pTitle0102205,"A patient presents to the emergency room after bleeding for over an hour. The doctor
administers a bolus of fresh frozen plasma. What is the main function of this bolus?",restore clotting components,increase immune function,increase blood pressure,none of the above,a
1022061,102206,1,102,2,6,pTitle0102206,"A professional climber collects and stores 1000cc of his own blood a few days before
ascending Mt. Everitt. When he receives he blood back to his body, what type of blood
donation is administered?",analogous,autologous,monologous,xenologous,b
1022062,102206,1,102,2,6,pTitle0102206,"Autologous blood donation is used more often as standard donation because of reduced
risks. (T/F)",TRUE,FALSE,"","",b
1022063,102206,1,102,2,6,pTitle0102206,"What type of supplement may a patient take after donating the blood to help the body
replace the lost blood cells before surgery?",Vitamin B12,calcium,iron,zinc,c
1022071,102207,1,102,2,7,pTitle0102207,"A biker suffers a fall when accelerating downhill, and he was sent to the emergency
room. The doctor determines he needs immediate blood transfusion. What may increase
his risk of acquiring graft-versus-host disease from blood transfusions?",history of diabetes,HIV causing immuno-compromised state,hepatitis,iron-deficiency anemia,b
1022072,102207,1,102,2,7,pTitle0102207,What is the best timeframe to irradiate platelets before storage?,within 3 days,within 5 days,within 10 days,at any stage,d
1022073,102207,1,102,2,7,pTitle0102207,"Besides irradiation, autologous donations can also prevent graft-versus-host disease.
(T/F)",TRUE,FALSE,"","",a
1022081,102208,1,102,2,8,pTitle0102208,"Which component of blood is often removed because it often plays no therapeutic role
and may be a cause of adverse transfusion reactions?",albumin protein,white blood cells,ABO antigens,hemoglobin,b
1022082,102208,1,102,2,8,pTitle0102208,"Leucodepletion provides the same protection as irradiation against graft-versus-host
disease (T/F)",TRUE,FALSE,"","",b
1022083,102208,1,102,2,8,pTitle0102208,What is used to remove leucocytes from blood components?,antibody-antigen interactions,microbeads,electrophoresis,special filters,d
1022091,102209,1,102,2,9,pTitle0102209,"Frozen red cells prepared by adding protective agent can be stored for longer than liquid-
preserved blood (T/F)",TRUE,FALSE,"","",a
1022092,102209,1,102,2,9,pTitle0102209,"What is the rational to remove unwanted plasma proteins from blood, even though doing
so may cause a loss of red cells?",prevent reactions and severe allergies,reduce risks of genetic mutations,decrease cancer spread,all of the above,a
1022093,102209,1,102,2,9,pTitle0102209,Why does removing white cells prevent the spread of the virus CMV?,white cells activate CMV replication,CMV is found in cellular component,leucodepletion decreases protein content,none of the above,b
1022101,102210,1,102,2,10,pTitle0102210,"Hemoglobin is essential for the oxygen-carrying capacity of blood. What type of cells in
the blood contain the highest level of hemoglobin?",leukocyte,red blood cells,adipose cells,globincytes,b
1022102,102210,1,102,2,10,pTitle0102210,"Hb-Based Oxygen Carriers has advantages over red blood cells because they can reach
more tissues (T/F)",TRUE,FALSE,"","",a
1022103,102210,1,102,2,10,pTitle0102210,"Red cell substitutes can increase blood-borne diseases because they provide vital
nutrients for various microbes. (T/F)",TRUE,FALSE,"","",b
1022111,102211,1,102,2,11,pTitle0102211,"Natural platelets are small pigmented blood cells that help the clotting process by sticking
to the blood vessels (T/F)",TRUE,FALSE,"","",b
1022112,102211,1,102,2,11,pTitle0102211,How are Infusible Platelet Membranes (IPMs) made?,genetically modified in special bacteria,synthesized from old platelet units,extracted from brown algae,3D printed,b
1022113,102211,1,102,2,11,pTitle0102211,One of the limitations of Infusible Platelet Membranes is their limited storage. (T/F),TRUE,FALSE,"","",a
1023011,102301,1,102,3,1,pTitle0102301,"When a person agrees to blood donation, what is the blood used for?",Transfusions for someone needing blood,Separated into components to make blood products,Stored in a bag for future use,All of the above,d
1023012,102301,1,102,3,1,pTitle0102302,The most common blood donation approach is to take blood from a capillary vessel (T/F),TRUE,FALSE,"","",b
1023013,102301,1,102,3,1,pTitle0102303,What must be done to the skin over blood vessel before drawing blood,mark with a FDA approved marker,visually inspected for rashes,cleaned carefully,ultrasound examination for abnormalities,c
1023014,102301,1,102,3,1,pTitle0102304,In which of the following types of container is donated blood commonly stored?,FDA-approved plastic bottles,flexible plastic bag,sterilized test tubes,All of the above,b
1023015,102301,1,102,3,1,pTitle0102305,"The thinner the needle, the less physical damage is done to the red blood cells as they
flow through the needle (T/F)The HI-LCO condition (High Information Low Conceptual
Overlap)",TRUE,FALSE,"","",b
1031011,103101,1,103,1,1,pTitle0103101,"A medical student is reviewing various procedures before shadowing an ophthalmologist.
One of the common procedures is a corneal transplant. What is this also known as?",corneactomy,keratogenesis,keratoplasty,lamellactomy,c
1031012,103101,1,103,1,1,pTitle0103101,Which of the following layers can be found in the cornea,epithelium,stroma,endothelium,all of the above,d
1031013,103101,1,103,1,1,pTitle0103101,What is the procedure that involves transplanting all the layers of the cornea?,penetrating cornea transplant,lamellar transplant,total stromal transplant,pseudo keratoplasty,a
1031014,103101,1,103,1,1,pTitle0103101,"While penetrating transplants can restore vision and reduce pain, lamellar usually only
improve the appearance of a damaged cornea (T/F)",TRUE,FALSE,"","",b
1031015,103101,1,103,1,1,pTitle0103101,"Cornea donation is in ample supply for those who need them, therefore one can easily
elect a surgical procedure (T/F)",TRUE,FALSE,"","",a
1031021,103102,1,103,1,2,pTitle0103102,"What is the characteristic of a patient’s cornea, who is diagnosed with keratoconus?",cone-like bulge,round and clear,irregular and pointy,cloudy and dark,a
